שם הקרן,מס' קרן,פרופיל חשיפה מניות,"פרופיל חשיפה מט""ח",סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מאפייני הקרן,מנהל קרן,נאמן,מעמד מס,דמי ניהול,דמי נאמנות,שווי נכסי הקרן,תאריך נכונות,מחיר קניה,מחיר פדיון,שינוי יומי %,תשואות מתחילת החודש,תשואות מתחילת השנה,תשואות 12 חודשים,סטיית תקן,נכס ייחוס,סיווג עמלת הפצה
מיטב כספית 13032026 מתחדש,1220227,0,0,קרן כספית,כספית מתחדשת,חודשי,הקרן היא קרן מועדים קבועים,מיטב קרנות נאמנות,הרמטיק נאמנות,פטורה,0.200,0.0070,26.1,25.05.2025,,100.00,,,,,,"תל גוב-מק""מ",0.1%
אש מ כספ חודשי 16032026,1223866,0,0,קרן כספית,כספית מתחדשת,חודשי,הקרן היא קרן מועדים קבועים,אלטשולר-שחם קרנות,יובנק נאמנות,פטורה,0.190,0.0070,12.8,09.07.2025,,100.00,,,,,,"תל גוב-מק""מ",0.1%
הראל מדורג שקלי ללא מניות,5100110,0,0,"אג""ח בארץ - חברות והמרה",חברות והמרה שקלי ללא מניות,,,הראל,יובנק נאמנות,פטורה,0.850,0.0400,76.8,26.02.2026,279.68,279.68,‎-0.19,‎-0.07,0.79,6.59,0.30,תל בונד-לא צמודות,0.35%
איביאי יתר,5100144,4,A,מניות בארץ,מניות לפי שווי שוק,מניות Small Cap,,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,2.710,0.0500,48.2,26.02.2026,1679.02,1679.02,‎-0.26,‎-4.55,0.70,25.42,2.28,יתר מניות,0.35%
קסם אקט ענקיות טכנ חול,5100151,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",קסם,יובנק נאמנות,פטורה,1.940,0.0400,340.9,25.02.2026,420.29,420.29,1.25,‎-3.51,‎-4.46,0.88,2.02,"NASDAQ 100 - NTR,דולר ארה""ב",0.35%
הראל 4D אודם,5100169,4,D,גמישות,,,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",הראל,יובנק נאמנות,פטורה,1.190,0.0400,90.8,25.02.2026,601.15,601.15,‎-0.10,‎-1.10,9.77,59.74,1.81,אחר,0.35%
"אילים אג""ח + 30%",5100193,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 30% מניות",,,אילים קרנות,יובנק נאמנות,פטורה,0.690,0.0300,229.9,26.02.2026,407.95,407.95,‎-0.27,0.14,2.53,19.76,0.60,"All-Bond כללי,ת""א 125",0.35%
אלטשולר שחם 10/90 תיק חול,5100235,1,D,"אג""ח בחו""ל","אג""ח חשופת דולר",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",אלטשולר-שחם קרנות,יובנק נאמנות,פטורה,0.780,0.0400,94.1,25.02.2026,172.72,172.72,‎-0.31,0.13,‎-2.42,‎-6.24,1.04,"Bloomberg Intermediate Corporate Total Return Index Value Unhedged USD - GTR,MSCI World Index Daily Net TR Local,דולר ארה""ב",0.35%
קסםאקט מניותדיבידנדגלובלי,5100243,4,D,"מניות בחו""ל","מניות כללי בחו""ל","מניות כללי בחו""ל חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,קרן להשק חוץ-פטור ממס לתושבי חוץ",קסם,יובנק נאמנות,פטורה,1.890,0.0400,54.5,25.02.2026,597.16,597.16,0.03,3.71,3.44,‎-1.31,1.18,"Dow Jones U.S. Dividend 100 Index ,דולר ארה""ב",0.35%
קסם אקט 10/90 תיק סולידי,5100284,1,A,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 10% מניות","אג""ח כללי בארץ בדירוג גבוה (AA ומעלה ו/ או מדינה)- עד 10% מניות",,קסם,יובנק נאמנות,פטורה,0.800,0.0300,365.9,26.02.2026,321.88,321.88,‎-0.24,0.28,1.49,9.52,0.32,"תל גוב-כללי,תל בונד שקלי-50,תל בונד-צמודות AA-AAA,ת""א 125",0.35%
תמיר פישמן 0D ! אג בינלאו,5100300,0,D,"אג""ח בחו""ל","אג""ח חשופת דולר",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",תמיר פישמן,יובנק נאמנות,חייבת,0.890,0.0600,40.5,25.02.2026,112.41,112.41,‎-0.31,0.53,‎-1.52,‎-6.72,0.89,"IBOXX USD LIQUID INVESTMENT GRADE - GTR,דולר ארה""ב",0.35%
קסם אקט מדינה ללא מנ כשר,5100318,0,B,"אג""ח בארץ - מדינה","אג""ח מדינה כללי - ללא מניות",,קרן כשרה,קסם,יובנק נאמנות,פטורה,0.670,0.0300,65.2,26.02.2026,182.87,182.87,‎-0.23,0.03,0.68,5.85,0.23,"תל גוב-שקלי 2-5,תל גוב-צמודות 2-5,תל בונד מאגר",0.35%
מיטב מדורגות A ומעלה,5100383,0,B,"אג""ח בארץ - חברות והמרה",חברות והמרה ללא מניות,"חברות והמרה ללא מניות וללא סימן קריאה, עם מגבלת מח""מ עד 5 שנים",,מיטב קרנות נאמנות,מזרחי טפחות נאמנות,פטורה,0.890,0.0300,221.1,26.02.2026,269.57,269.57,‎-0.25,‎-0.15,0.36,6.08,0.26,"אג""ח כללי - קונצרני",0.35%
מיטב ת״א 125,5100474,4,A,מניות בארץ,מניות לפי שווי שוק,מניות Large & Mid Cap,,מיטב קרנות נאמנות,יובנק נאמנות,פטורה,1.850,0.0400,1732.1,26.02.2026,1487.81,1487.81,‎-0.83,2.65,13.50,74.56,2.18,"ת""א 125",0.35%
איביאי 4D גלובל אקוויטי,5100482,4,D,"מניות בחו""ל","מניות כללי בחו""ל","מניות כללי בחו""ל חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,2.100,0.0500,100.7,25.02.2026,254.15,254.15,0.50,‎-0.27,‎-0.16,0.06,1.12,"S&P 500 - NTR,דולר ארה""ב",0.35%
הראל מדינה שקלית ארוכה,5100565,0,0,"אג""ח בארץ - מדינה","אג""ח מדינה שקליות - ללא מניות",,,הראל,יובנק נאמנות,פטורה,0.690,0.0400,118.4,26.02.2026,349.01,349.01,‎-0.51,0.41,1.20,8.61,0.54,תל גוב-שקלי 5+,0.35%
קסם אקט שקל A ומעלה,5100581,0,0,"אג""ח בארץ - חברות והמרה",חברות והמרה שקלי ללא מניות,,,קסם,יובנק נאמנות,פטורה,0.710,0.0300,73.5,26.02.2026,256.17,256.17,‎-0.22,‎-0.13,0.67,6.01,0.29,"תל גוב-שקלי 2-5,תל בונד-שקלי A",0.35%
"איביאי 0D ! אג יורו בינ""ל",5100615,0,D,"אג""ח בחו""ל","אג""ח חשופת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,קרן להשקעות חוץ – מטבע עיקרי - אירו,קרן להשק חוץ-פטור ממס לתושבי חוץ","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,1.000,0.0500,2.8,25.02.2026,103.42,103.42,‎-0.20,‎-0.94,‎-1.75,1.28,0.97,אירו,0.35%
מיטב כספית דולרית,5100672,0,D,קרן כספית,"כספית מט""חית עם קונצרני",חשופת דולר,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב",מיטב קרנות נאמנות,יובנק נאמנות,פטורה,0.280,0.0200,273.7,25.02.2026,69.17,69.17,‎-0.43,0.17,‎-2.47,‎-9.59,1.05,"אחר,דולר ארה""ב",0.1%
מגדל תיק מר נזיל בנק בינל,5100680,0,A,"אג""ח בארץ - חברות והמרה",חברות והמרה ללא מניות,"חברות והמרה ללא מניות וללא סימן קריאה, עם מגבלת מח""מ עד 5 שנים",הקרן עוקבת תיק של - הבנק הבינלאומי הראשון לישראל,מגדל,יובנק נאמנות,פטורה,0.490,0.0400,27.2,26.02.2026,190.22,190.22,‎-0.08,0.10,0.48,4.88,0.13,"אג""ח כללי - קונצרני",0.35%
הראל סקטור עולמי עד30מטח,5100771,4,B,"מניות בחו""ל","מניות כללי בחו""ל","מניות כללי בחו""ל מוגנת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,קרן להשק חוץ-פטור ממס לתושבי חוץ",הראל,יובנק נאמנות,פטורה,1.170,0.0400,43.8,25.02.2026,197.11,197.09,0.07,‎-4.68,‎-8.16,‎-15.26,1.73,MSCI AC WORLD INDEX - NTR,0.35%
"אש תיק אג""ח שקלי",5100813,0,A,"אג""ח בארץ - כללי","אג""ח כללי בארץ - ללא מניות","אג""ח כללי בארץ ללא מניות וללא סימן קריאה",,אלטשולר-שחם קרנות,יובנק נאמנות,פטורה,0.780,0.0400,451.8,26.02.2026,377.48,377.48,‎-0.18,0.41,1.14,6.99,0.31,"תל גוב-שקלי,תל בונד שקלי",0.35%
"איביאי מניות ארה""ב",5100821,4,D,"מניות בחו""ל",מניות גאוגרפי,"ארה""ב חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,2.250,0.0500,93.6,25.02.2026,115.66,115.66,0.29,‎-0.37,‎-1.57,‎-0.10,1.20,"S&P 500 - NTR,דולר ארה""ב",0.35%
קסם אקט תיק מנוהל,5100953,3,D,"אג""ח בארץ - כללי","אג""ח כללי בארץ - חשיפה מרבית מעל 30% מניות",,,קסם,מזרחי טפחות נאמנות,פטורה,0.450,0.0400,162.4,26.02.2026,123.45,123.45,‎-0.20,0.06,1.57,12.04,0.40,"All-Bond כללי,ת""א 125",0.35%
מיטב 5D זהב,5100961,5,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",מיטב קרנות נאמנות,יובנק נאמנות,פטורה,2.520,0.0300,75.2,25.02.2026,202.65,202.65,0.52,‎-1.67,16.81,59.65,3.42,"GOLD SPOT $/OZ INDEX,דולר ארה""ב",0.35%
"מיטב מניות טכנולוגיה חו""ל",5101019,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",מיטב קרנות נאמנות,מזרחי טפחות נאמנות,פטורה,1.690,0.0400,472.6,25.02.2026,652.24,651.97,1.89,‎-4.49,‎-5.89,1.96,1.35,"NASDAQ COMPOSITE INDEX - GTR,דולר ארה""ב",0.35%
"אנליסט טכנולוגיות חו""ל",5101092,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",אנליסט,מזרחי טפחות נאמנות,פטורה,1.950,0.0250,435.5,25.02.2026,472.45,472.45,1.00,‎-1.97,‎-2.25,1.01,2.16,"NASDAQ COMPOSITE INDEX - GTR,דולר ארה""ב",0.35%
"איילון ארה""ב חייבת",5101118,4,D,"מניות בחו""ל",מניות גאוגרפי,"ארה""ב חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",איילון,יובנק נאמנות,חייבת,0.950,0.0400,90.1,25.02.2026,283.57,283.57,0.40,‎-1.00,‎-0.58,0.93,1.09,"S&P 500 - NTR,דולר ארה""ב",0.35%
איילון מניות US,5101159,4,D,"מניות בחו""ל",מניות גאוגרפי,"ארה""ב חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",איילון,יובנק נאמנות,פטורה,1.950,0.0400,39.7,25.02.2026,137.20,137.20,0.59,‎-1.39,‎-0.41,‎-1.60,1.67,"S&P 500 - NTR,דולר ארה""ב",0.35%
איביאי ביוטכנולוגיה גלובל,5101183,4,D,"מניות בחו""ל","מניות לפי ענפים בחו""ל",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ","איביאי קרנות נאמנות ",יובנק נאמנות,חייבת,1.100,0.0500,17.5,25.02.2026,183.78,183.78,‎-0.16,1.89,0.70,‎-0.80,2.25,"NASDAQ Biotechnology INDEX - GTR,דולר ארה""ב",0.35%
מגדל 25/75 פלוס,5101191,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 25% מניות",,,מגדל,יובנק נאמנות,פטורה,0.890,0.0500,49.6,26.02.2026,147.62,147.62,‎-0.36,0.02,2.62,14.38,0.70,All-Bond כללי,0.35%
סיגמא מניות ערך גלובלי,5101233,4,D,"מניות בחו""ל","מניות כללי בחו""ל","מניות כללי בחו""ל חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",סיגמא,אלמגור-בריטמן נאמנות,פטורה,2.420,0.0400,44.9,25.02.2026,178.20,178.20,0.11,0.08,2.62,‎-5.54,1.31,"MSCI WORLD INDEX - NTR,דולר ארה""ב",0.35%
אנליסט מניות ישראל,5101258,4,B,מניות בארץ,מניות לפי שווי שוק,מניות Large & Mid Cap,,אנליסט,מזרחי טפחות נאמנות,פטורה,1.690,0.0300,498.5,26.02.2026,995.90,995.90,‎-0.68,1.20,9.28,56.17,2.03,"ת""א 125",0.35%
"אנליסט נדל""ן",5101266,4,B,מניות בארץ,מניות לפי ענפים,,,אנליסט,מזרחי טפחות נאמנות,פטורה,1.850,0.0300,44.9,26.02.2026,845.45,845.45,‎-0.25,‎-2.39,1.50,17.87,2.76,"נדל""ן ובינוי",0.35%
"קסם אקט ארה""ב חייבת",5101308,4,D,"מניות בחו""ל",מניות גאוגרפי,"ארה""ב חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",קסם,אלמגור-בריטמן נאמנות,חייבת,1.450,0.0400,41.4,25.02.2026,154.35,154.35,0.70,‎-1.83,‎-3.31,‎-8.54,1.14,"S&P 500 - NTR,דולר ארה""ב",0.35%
איילון מניות קרן נאמנות,5101381,4,B,מניות בארץ,מניות לפי שווי שוק,מניות All Cap,,איילון,יובנק נאמנות,פטורה,2.490,0.0400,22.0,26.02.2026,462.03,462.03,‎-0.44,1.93,10.92,54.34,2.15,"ת""א 125",0.35%
"סיגמא אג""ח מדינה",5101399,0,A,"אג""ח בארץ - מדינה","אג""ח מדינה כללי - ללא מניות",,,סיגמא,אלמגור-בריטמן נאמנות,פטורה,0.640,0.0400,177.7,26.02.2026,55.55,55.55,‎-0.16,0.02,0.51,4.97,0.15,תל גוב-כללי,0.35%
קסם אקטיב שווקים מתעוררים,5101431,4,D,"מניות בחו""ל",מניות גאוגרפי,"מניות גיאוגרפי אחר חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",קסם,יובנק נאמנות,חייבת,1.950,0.0400,5.5,25.02.2026,155.67,155.67,‎-0.12,4.05,8.19,19.53,1.38,"MSCI EMERGING MARKETS - RT - NTR,דולר ארה""ב",0.35%
קסם אקט אגח + 25%,5101480,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 25% מניות",,,קסם,מזרחי טפחות נאמנות,פטורה,0.680,0.0400,81.1,26.02.2026,308.60,308.60,‎-0.30,0.04,1.90,13.52,0.53,"All-Bond כללי,ת""א 125",0.35%
מור מחקה תא 35,5101506,4,A,מניות בארץ,מניות לפי שווי שוק,Large Cap,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מור קרנות,יובנק נאמנות,פטורה,0.450,0.0200,142.8,26.02.2026,906.31,906.31,‎-1.47,2.41,12.87,66.94,1.94,"ת""א-35",לא נגבית עמלת הפצה
מיטב מדינה שקלית כשרה,5101563,0,0,"אג""ח בארץ - מדינה","אג""ח מדינה שקליות - ללא מניות",,קרן כשרה,מיטב קרנות נאמנות,יובנק נאמנות,פטורה,0.690,0.0200,78.0,26.02.2026,189.51,189.51,‎-0.36,0.25,1.05,7.26,0.34,תל גוב-שקלי,0.35%
מגדל מדינה שקלים ארוכים,5101571,0,0,"אג""ח בארץ - מדינה","אג""ח מדינה שקליות - ללא מניות",,,מגדל,אלמגור-בריטמן נאמנות,פטורה,0.690,0.0400,246.4,26.02.2026,317.08,317.08,‎-0.55,0.40,1.33,8.37,0.50,תל גוב-שקלי 5+,0.35%
"קסם אקט אג""ח גלובלי מדורג",5101621,0,D,"אג""ח בחו""ל","אג""ח חשופת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",קסם,יובנק נאמנות,פטורה,0.750,0.0400,77.6,25.02.2026,122.81,122.81,‎-0.41,0.62,‎-1.83,‎-5.99,1.05,"Markit iBoxx USD Liquid Investment Grade 0-5 - GTR ,דולר ארה""ב",0.35%
אנליסט השקעות,5101639,4,D,גמישות,,,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,הקרן היא קרן מועדים קבועים",אנליסט,מזרחי טפחות נאמנות,פטורה,1.940,0.0250,458.1,25.02.2026,1990.80,1990.80,‎-0.58,‎-1.81,2.57,31.66,1.51,אחר,0.35%
"הראל אג""ח תאגידים",5101670,1,B,"אג""ח בארץ - חברות והמרה",חברות והמרה עם מניות,חברות והמרה עם מניות ועם סימן קריאה,,הראל,יובנק נאמנות,פטורה,0.650,0.0400,37.3,26.02.2026,293.86,290.95,‎-0.20,‎-0.90,‎-0.36,3.58,0.28,"אג""ח כללי - קונצרני",0.35%
הראל קונצרני פלוס,5101704,1,B,"אג""ח בארץ - חברות והמרה",חברות והמרה עם מניות,חברות והמרה עם מניות ועם סימן קריאה,,הראל,יובנק נאמנות,פטורה,0.590,0.0400,6.1,26.02.2026,135.37,135.37,‎-0.32,‎-0.37,0.97,8.06,0.21,"אג""ח כללי - קונצרני,ת""א 125",0.35%
"הראל אג""ח חו""ל יורו",5101712,0,D,"אג""ח בחו""ל","אג""ח חשופת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,קרן להשקעות חוץ – מטבע עיקרי - אירו",הראל,יובנק נאמנות,פטורה,1.170,0.0400,15.6,25.02.2026,153.30,153.30,‎-0.21,‎-0.88,‎-1.91,1.60,1.06,אירו,0.35%
איילון סולידית +10%,5101795,1,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 10% מניות","אג""ח כללי בארץ בדירוג גבוה (AA ומעלה ו/ או מדינה)- עד 10% מניות",,איילון,יובנק נאמנות,פטורה,0.650,0.0300,23.0,26.02.2026,260.17,260.17,‎-0.25,0.37,1.82,9.57,0.31,"All-Bond כללי,ת""א 125",0.35%
איילון מדינה שקלית+10%,5101811,1,A,"אג""ח בארץ - מדינה","אג""ח מדינה שקליות - עד 10% מניות",,,איילון,יובנק נאמנות,פטורה,0.640,0.0300,10.6,26.02.2026,256.21,256.21,‎-0.33,0.72,2.36,10.57,0.43,"תל גוב-שקלי,ת""א 125",0.35%
איביאי 0D אגחול$ נק$ 3שני,5101902,0,D,"אג""ח בחו""ל","אג""ח נקובת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,יחידות הקרן נקובות ב- $,קרן להשקעות חוץ – מטבע עיקרי - דולר ארה""ב,קרן להשק חוץ-פטור ממס לתושבי חוץ","איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,0.660,0.0500,32.8,25.02.2026,31.04,31.04,‎-0.45,0.94,‎-2.13,‎-8.52,1.09,ICE BofAML 1-3 Year US Corporate & Government Index,0.35%
מיטב גז ונפט,5101951,4,A,מניות בארץ,מניות לפי ענפים,,,מיטב קרנות נאמנות,יובנק נאמנות,פטורה,2.050,0.0300,78.5,26.02.2026,683.36,683.36,‎-0.64,0.63,0.85,34.55,1.92,חיפושי גז ונפט מניות והמירים,0.35%
איביאי מניות,5102132,4,A,מניות בארץ,מניות לפי שווי שוק,מניות All Cap,,"איביאי קרנות נאמנות ",יובנק נאמנות,פטורה,2.290,0.0500,329.6,26.02.2026,516.51,516.51,‎-0.92,3.53,12.64,64.89,2.03,"ת""א 125",0.35%
איילון פאי 30/70,5102157,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 30% מניות",,,איילון,יובנק נאמנות,פטורה,0.850,0.0400,47.1,26.02.2026,320.18,320.18,‎-0.31,0.56,2.38,16.13,0.66,"All-Bond כללי,ת""א 125",0.35%
מיטב LONG RUN 4D,5102207,4,D,גמישות,,,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",מיטב קרנות נאמנות,יובנק נאמנות,פטורה,1.480,0.0300,348.6,25.02.2026,594.43,594.43,‎-0.05,‎-0.33,4.82,35.31,1.33,אחר,0.35%
"מיטב מניות ארה""ב",5102256,4,D,"מניות בחו""ל",מניות גאוגרפי,"ארה""ב חשופת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",מיטב קרנות נאמנות,מזרחי טפחות נאמנות,פטורה,1.760,0.0400,684.6,25.02.2026,517.83,517.81,0.69,‎-2.49,‎-2.68,‎-3.18,1.34,"S&P 500 - NTR,דולר ארה""ב",0.35%
"אש ת""א MidCap Stk Pick",5102298,4,B,מניות בארץ,מניות לפי שווי שוק,מניות Large & Mid Cap,,אלטשולר-שחם קרנות,יובנק נאמנות,פטורה,1.500,0.0400,301.7,26.02.2026,406.44,406.44,‎-0.51,‎-3.52,‎-1.94,33.20,2.20,"ת""א 90",0.35%
מיטב תיק השקעות 25/75,5102330,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 25% מניות",,,מיטב קרנות נאמנות,יובנק נאמנות,פטורה,0.890,0.0400,318.9,26.02.2026,86.11,86.11,‎-0.35,‎-0.24,1.72,14.84,0.56,All-Bond כללי,0.35%
"הראל אג""ח דולר בינלאומי",5102371,0,D,"אג""ח בחו""ל","אג""ח חשופת דולר",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",הראל,מזרחי טפחות נאמנות,חייבת,0.760,0.0400,331.2,25.02.2026,134.21,134.21,‎-0.39,0.50,‎-1.93,‎-6.49,0.99,"Bloomberg Intermediate Corporate Total Return Index Value Unhedged USD - GTR,דולר ארה""ב",0.35%
"קסם אקט עוקב תיק 2 בינ""ל",5102421,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 15% מניות",,הקרן עוקבת תיק של - הבנק הבינלאומי הראשון לישראל,קסם,אלמגור-בריטמן נאמנות,פטורה,0.760,0.0300,455.3,26.02.2026,224.96,224.96,‎-0.06,0.51,1.25,8.24,0.27,"All-Bond כללי,ת""א 125",0.35%
הראל מדינה שקלי 0-3 + 10%,5102470,1,A,"אג""ח בארץ - מדינה","אג""ח מדינה שקליות - עד 10% מניות",,,הראל,יובנק נאמנות,פטורה,1.350,0.0400,41.2,26.02.2026,185.39,185.39,‎-0.23,0.29,1.17,7.10,0.18,"תל גוב-שקלי 0-2,תל בונד-שקלי 1-3,ת""א 125,MSCI AC WORLD INDEX - RT - NTR ",0.35%
הראל ישראל 25/75,5102488,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 25% מניות",,,הראל,יובנק נאמנות,פטורה,0.630,0.0400,462.4,26.02.2026,73.09,73.09,‎-0.23,0.67,3.69,20.49,0.69,"All-Bond כללי,ת""א 125",0.35%
הראל אירופה עד 30 מטח,5102652,4,B,"מניות בחו""ל",מניות גאוגרפי,"מניות גאוגרפי מוגנת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,קרן להשק חוץ-פטור ממס לתושבי חוץ",הראל,יובנק נאמנות,פטורה,1.150,0.0400,6.4,25.02.2026,115.05,114.95,0.21,2.08,2.11,4.49,0.96,STOXX Europe 600 - NTR,0.35%
מגדל תיק השקעות 30/70,5102678,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 30% מניות",,,מגדל,אלמגור-בריטמן נאמנות,פטורה,0.790,0.0400,411.7,26.02.2026,313.34,313.34,‎-0.31,0.10,2.52,16.60,0.65,"All-Bond כללי,מניות כללי",0.35%
"הראל אג""ח סולידית מחלקת",5102850,0,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - ללא מניות","אג""ח כללי בארץ ללא מניות וללא סימן קריאה, עם מגבלת מח""מ עד 5 שנים",,הראל,יובנק נאמנות,חייבת,1.170,0.0400,22.2,26.02.2026,30.49,30.49,‎-0.13,0.03,0.53,4.74,0.17,"תל בונד-צמודות AA-AAA,תל בונד-שקלי AA-AAA,תל גוב-כללי",0.35%
הראל תשתיות ישראל,5102876,4,A,מניות בארץ,מניות לפי ענפים,,,הראל,יובנק נאמנות,פטורה,1.250,0.0400,89.5,26.02.2026,458.11,458.11,‎-0.38,4.16,8.28,54.73,2.09,"ת""א-נפט וגז,ת""א-תשתיות אנרגיה,ת""א-בנייה",0.35%
מגדל עוק תיק 2 בנק בינל,5102926,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 15% מניות",,הקרן עוקבת תיק של - הבנק הבינלאומי הראשון לישראל,מגדל,אלמגור-בריטמן נאמנות,פטורה,0.790,0.0300,183.6,26.02.2026,240.22,240.22,‎-0.02,‎-0.28,0.00,6.98,0.34,All-Bond כללי,0.35%
מגדל כספית שקלית,5102991,0,0,קרן כספית,כספית שקלית,כספית שקלית עם קונצרני,,מגדל,אלמגור-בריטמן נאמנות,פטורה,0.239,0.0100,5783.8,26.02.2026,165.62,165.62,0.01,0.27,0.61,4.68,0.00,אחר,0.1%
"קסם אקטיב אג""ח",5103056,0,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - ללא מניות","אג""ח כללי בארץ ללא מניות וללא סימן קריאה",,קסם,יובנק נאמנות,פטורה,1.150,0.0400,179.7,26.02.2026,177.63,177.63,‎-0.21,‎-0.12,0.36,5.09,0.29,All-Bond כללי,0.35%
"קסם אקטאג""ח גלובמנוטרלמטח",5103106,0,A,"אג""ח בחו""ל","אג""ח מוגנת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",קסם,יובנק נאמנות,פטורה,0.750,0.0400,131.2,25.02.2026,111.17,111.17,‎-0.04,1.40,1.47,6.91,0.45,"Markit iBoxx USD Liquid Investment Grade 0-5 - GTR ",0.2%
קסם אקט מדינה צמוד + 10%,5103114,1,B,"אג""ח בארץ - מדינה","אג""ח מדינה צמוד מדד - עד 10% מניות",,,קסם,יובנק נאמנות,פטורה,0.680,0.0400,411.2,26.02.2026,177.69,177.69,‎-0.10,0.24,1.10,7.72,0.21,"תל גוב-צמודות,ת""א 125",0.35%
מגדל סקטור ארהב-מנוטר מטח,5103148,4,A,"מניות בחו""ל",מניות גאוגרפי,"מניות גאוגרפי מוגנת מט""ח","הקרן הינה קרן בלתי מוגבלת בני""ע חוץ",מגדל,אלמגור-בריטמן נאמנות,פטורה,1.500,0.0500,73.1,25.02.2026,507.56,507.54,0.95,‎-2.32,‎-0.81,8.78,1.83,S&P 500 - NTR,0.35%
מגדל בונד שק A ומעלה +10%,5103163,1,A,"אג""ח בארץ - חברות והמרה",חברות והמרה שקלי עם מניות,,,מגדל,אלמגור-בריטמן נאמנות,פטורה,0.590,0.0400,16.6,26.02.2026,275.37,275.37,‎-0.14,‎-0.26,1.09,9.13,0.37,תל בונד שקלי,0.35%
הראל אגח מדינות בחול-נ.$,5103247,0,D,"אג""ח בחו""ל","אג""ח נקובת מט""ח",,"הקרן הינה קרן בלתי מוגבלת בני""ע חוץ,יחידות הקרן נקובות ב- $",הראל,יובנק נאמנות,פטורה,0.500,0.0400,62.1,25.02.2026,152.54,152.54,‎-0.47,1.20,‎-1.76,‎-8.11,0.93,Bloomberg US Treasuey 1-5 Years,0.35%
"מיטב מניות ת""א MID CAP",5103296,4,A,מניות בארץ,מניות לפי שווי שוק,מניות Large & Mid Cap,,מיטב קרנות נאמנות,מזרחי טפחות נאמנות,פטורה,1.790,0.0400,382.8,26.02.2026,1535.64,1535.64,‎-0.68,‎-0.58,5.75,48.16,2.37,"ת""א 90",0.35%
