שם הקרן,מס' קרן,פרופיל חשיפה מניות,"פרופיל חשיפה מט""ח",סיווג הקרן כותרת על,סיווג הקרן כותרת ראשית,סיווג הקרן כותרת משנית,מאפייני הקרן,מנהל קרן,נאמן,מעמד מס,דמי ניהול,דמי נאמנות,שווי נכסי הקרן,תאריך נכונות,מחיר קניה,מחיר פדיון,שינוי יומי %,תשואות מתחילת החודש,תשואות מתחילת השנה,תשואות 12 חודשים,סטיית תקן,נכס ייחוס,סיווג עמלת הפצה
פיטנגו (2B)י 25/75,5109137,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 25% מניות",,,איילון,יובנק נאמנות,פטורה,1.850,0.0450,98.3,26.02.2026,225.84,225.84,‎-0.38,‎-0.31,0.97,10.96,0.47,"All-Bond כללי,מניות כללי",0.35%
קסם אקטיב קונצרני שקלי,5109160,0,A,"אג""ח בארץ - חברות והמרה",חברות והמרה שקלי ללא מניות,,,קסם,יובנק נאמנות,פטורה,0.980,0.0300,57.3,26.02.2026,171.27,171.27,‎-0.24,‎-0.47,0.43,5.39,0.32,תל בונד-לא צמודות,0.35%
קסם אקט 30/70,5109319,2,C,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 30% מניות",,,קסם,יובנק נאמנות,פטורה,0.760,0.0300,173.9,26.02.2026,241.09,241.09,‎-0.24,0.29,2.86,15.02,0.56,"All-Bond כללי,ת""א 125",0.35%
"אילים אג""ח ללא מניות",5109384,0,A,"אג""ח בארץ - כללי","אג""ח כללי בארץ - ללא מניות","אג""ח כללי בארץ ללא מניות עם סימן קריאה",,אילים קרנות,יובנק נאמנות,פטורה,0.690,0.0300,439.1,26.02.2026,175.40,175.40,‎-0.36,‎-0.47,0.43,6.53,0.31,All-Bond כללי,0.35%
תכלית TTF תא 35,5109418,4,0,מניות בארץ,מניות לפי שווי שוק,Large Cap,לפי מדיניות השקעותיה הקרן הינה קרן מחקה,מיטב קרנות נאמנות,אלמגור-בריטמן נאמנות,פטורה,0.300,0.0300,177.2,26.02.2026,250.77,250.77,‎-1.47,2.42,12.89,67.12,1.95,"ת""א-35",לא נגבית עמלת הפצה
"קסם אקט עוקב תיק 3 בינ""",5109558,2,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 30% מניות",,הקרן עוקבת תיק של - הבנק הבינלאומי הראשון לישראל,קסם,אלמגור-בריטמן נאמנות,פטורה,0.610,0.0300,237.0,26.02.2026,178.34,178.34,‎-0.08,0.55,2.10,10.96,0.38,"All-Bond כללי,ת""א 125",0.35%
"איילון אג""ח+10%",5109608,1,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 10% מניות","אג""ח כללי בארץ- עד 10% מניות ועם סימן קריאה",,איילון,מזרחי טפחות נאמנות,פטורה,0.800,0.0400,15.7,26.02.2026,227.84,227.84,‎-0.35,0.32,1.19,10.53,0.58,"All-Bond כללי,ת""א 125",0.35%
"כוון אג""ח ללא מניות",5109624,0,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - ללא מניות","אג""ח כללי בארץ ללא מניות וללא סימן קריאה",,איילון,יובנק נאמנות,פטורה,0.690,0.0450,13.0,26.02.2026,168.35,168.35,‎-0.25,0.07,0.65,6.75,0.20,All-Bond כללי,0.35%
כוון (1B)י 10/90,5109632,1,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - עד 10% מניות","אג""ח כללי בארץ- עד 10% מניות ללא סימן קריאה",,איילון,יובנק נאמנות,פטורה,0.740,0.0450,6.8,26.02.2026,207.15,207.15,‎-0.31,0.26,1.40,11.32,0.39,"All-Bond כללי,מניות כללי",0.35%
"איילון אג""ח והנפקות ללא מ",5109673,0,B,"אג""ח בארץ - כללי","אג""ח כללי בארץ - ללא מניות","אג""ח כללי בארץ ללא מניות עם סימן קריאה",,איילון,יובנק נאמנות,פטורה,0.690,0.0400,343.5,26.02.2026,180.32,180.32,‎-0.25,‎-0.89,0.09,3.86,0.26,"אג""ח כללי - קונצרני",0.35%
